cf_id,first_name,last_name,email,company_name,description,end_date,Left of Goal
1114,Zan,Warren,zwarren@gmail.com,Nunez-Richards,Exclusive attitude-oriented intranet,2021-03-10,88154
65,Zachariah,Walls,zwalls@live.com,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362
968,Zacharie,Walker,zwalker@protonmail.com,Warren Ltd,Distributed system-worthy application,2021-09-21,153288
65,Zan,Verdier,zverdier@yahoo.com,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362
1114,Zarah,Vasquez,zvasquez@live.com,Nunez-Richards,Exclusive attitude-oriented intranet,2021-03-10,88154
563,Zanipolo,Thompson,zthompson@live.com,Rush-Bowers,Persevering analyzing extranet,2021-12-26,71872
2488,Zia,Stuart,zstuart@gmail.com,Cooper Inc,Polarized discrete product,2021-03-21,1503
968,Zak,Snow,zsnow@protonmail.com,Warren Ltd,Distributed system-worthy application,2021-09-21,153288
1114,Zackary,Schirripa,zschirripa@protonmail.com,Nunez-Richards,Exclusive attitude-oriented intranet,2021-03-10,88154
1572,Zella,Sauer,zsauer@live.com,Mcmillan Group,Advanced cohesive Graphic Interface,2021-12-29,98164
948,Zack,Salvo,zsalvo@protonmail.com,Burns-Burnett,Front-line scalable definition,2021-05-19,1559
65,Zahra,Rousseau,zrousseau@gmail.com,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362
563,Zaira,Rivest,zrivest@protonmail.com,Rush-Bowers,Persevering analyzing extranet,2021-12-26,71872
65,Zack,Rivers,zrivers@live.com,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362
968,Zarah,Ratliff,zratliff@live.com,Warren Ltd,Distributed system-worthy application,2021-09-21,153288
65,Zellmer,Rago,zrago@yandex.com,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362
563,Zanipolo,Pruvost,zpruvost@protonmail.com,Rush-Bowers,Persevering analyzing extranet,2021-12-26,71872
1572,Zeno,Pruneau,zpruneau@gmail.com,Mcmillan Group,Advanced cohesive Graphic Interface,2021-12-29,98164
65,Zulma,Noble,znoble@live.com,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362
65,Zakaria,Moses,zmoses@gmail.com,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362
65,Zelie,Moroni,zmoroni@outlook.com,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362
968,Zinerva,Marin,zmarin@outlook.com,Warren Ltd,Distributed system-worthy application,2021-09-21,153288
1572,Zachariah,Liuzza,zliuzza@yandex.com,Mcmillan Group,Advanced cohesive Graphic Interface,2021-12-29,98164
65,Zonia,Kemp,zkemp@live.com,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362
1572,Zelig,Jimenez,zjimenez@protonmail.com,Mcmillan Group,Advanced cohesive Graphic Interface,2021-12-29,98164
65,Zella,Jacquemin,zjacquemin@protonmail.com,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362
65,Zane,Jackson,zjackson@yandex.com,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362
